Letter,P_n,SF,Solidity,H,S,chi,HorizSym,VertSym
A,5.261,0.454,0.822,1,24,0,True,False
B,4.423,0.642,0.958,2,20,-1,False,True
C,8.954,0.157,0.5,0,28,1,False,True
D,4.27,0.689,0.956,1,20,0,False,True
E,8.693,0.166,0.571,0,12,1,False,True
F,7.507,0.223,0.597,0,10,1,False,False
G,8.853,0.16,0.6,0,24,1,False,False
H,7.184,0.243,0.633,0,12,1,True,True
I,7.249,0.239,0.524,0,12,1,True,True
J,6.882,0.265,0.535,0,12,1,False,False
K,7.903,0.201,0.633,0,30,1,False,False
L,6.128,0.335,0.6,0,6,1,False,False
M,7.437,0.227,0.714,0,20,1,True,False
N,7.203,0.242,0.694,0,20,1,False,False
O,4.174,0.721,0.957,1,16,0,True,True
P,4.603,0.593,0.881,1,14,0,False,False
Q,4.824,0.54,0.926,1,26,1,False,False
R,5.555,0.407,0.866,1,24,0,False,False
S,10.007,0.125,0.574,0,28,1,False,False
T,6.128,0.335,0.6,0,8,1,True,False
U,7.428,0.228,0.604,0,12,1,True,False
V,6.928,0.262,0.675,0,24,1,True,False
W,8.113,0.191,0.729,0,24,1,True,False
X,9.238,0.147,0.551,0,36,1,True,True
Y,6.822,0.27,0.647,0,16,1,True,False
Z,8.171,0.188,0.592,0,24,1,False,False
